Price,Bedroom,Bathroom,Floors,Parking,Views,Amenities,Interest
210000,5,3,3,1,173,"['Water Well', 'Solar Water', 'Garage', 'TV Cable', 'Parking', 'Electricity Backup', 'Store Room']",23
160000,3,4,2,1,599,"['Air Condition', 'Balcony', 'Deck', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Electricity Backup', 'Internet', 'Parking']",0
77000,4,2,2,1,677,"['Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Water Tank', 'Parking']",25
200000,7,3,2.5,2,5100,"['Balcony', 'Fencing', 'Frontyard', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",26
190000,7,4,3.5,1,6200,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",16
400000,8,4,3,5,86,"['Parking', 'Water Supply', 'Solar Water', 'Water Tank', 'Store Room', 'Garden', 'Lawn', 'Balcony', 'TV Cable', 'Internet', 'Wifi', 'Modular Kitchen']",56
125000,2,1,1,1,3200,"['Lawn', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']",2
195000,5,3,2.5,1,710,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",46
220000,5,3,2.5,1,157,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Electricity Backup', 'Parking', 'Store Room']",1
215000,4,3,2.5,1,161,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Parking', 'Store Room']",14
195000,4,3,2.5,1,166,"['Balcony', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",33
190000,4,3,2.5,1,602,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Parking', 'Store Room']",17
180000,4,3,2.5,1,792,[],9
370000,8,5,3,2,136,"['Parking', 'Balcony', 'Drainage', 'Garden']",42
340000,6,3,3,1,94,"['Parking', 'Balcony', 'Water Well', 'Water Tank', 'Drainage']",24
260000,8,4,3,1,220,"['Parking', 'Balcony', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet']",6
220000,5,3,,1,380,"['Parking', 'Balcony', 'Drainage', 'Water Supply']",15
230000,7,3,,1,135,['Parking'],3
155000,5,2,,1,960,['Parking'],8
235000,6,4,3,1,673,"['Parking', 'Modular Kitchen', 'TV Cable', 'Water Well', 'Water Supply', 'Water Tank', 'Solar Water', 'Drainage']",4
900000,5,5,,3,296,"['Parking', 'Balcony', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Electricity Backup']",101
170000,4,3,2.5,1,2100,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",4
125000,2,1,1.5,1,917,"['TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking']",3
450000,4,4,3,4,8200,"['Garage', 'Balcony', 'Garden', 'Water Supply', 'TV Cable', 'Lawn', 'Frontyard', 'Modular Kitchen', 'Backyard', 'Deck', 'Drainage', 'Wifi', 'Fencing']",29
125000,2,1,1.5,1,4100,"['Drainage', 'Water Supply', 'Parking']",11
190000,4,3,2.5,2,1900,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",28
155000,2,1,1.5,2,5300,[],25
230000,3,3,,1,395,"['Parking', 'Air Condition', 'Balcony', 'Fencing', 'Garden', 'Gym', 'Modular Kitchen', 'Swimming Pool', 'Wifi', 'Drainage', 'Water Supply', 'Electricity Backup', 'Internet', 'Lift']",26
165000,3,2,5,1,975,"['Parking', 'Air Condition', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Water Supply', 'Water Tank', 'Kids Playground', 'Internet', 'Intercom', 'Electricity Backup']",3
170000,5,3,3,1,248,"['Parking', 'Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank', 'Solar Water', 'Internet', 'Store Room']",12
285000,6,6,,1,103,[],4
125000,3,1,2,1,214,"['Parking', 'Water Well', 'Water Tank', 'Backyard']",15
220000,5,3,2.5,1,1700,"['Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']",17
110000,3,4,,1,247,"['Parking', 'Balcony', 'Fencing']",17
110000,2,1,1.5,2,1600,"['Fencing', 'Drainage', 'Water Supply', 'Parking']",15
130000,4,2,1.5,1,786,"['Drainage', 'Water Supply', 'Water Tank', 'Parking']",5
500000,3,3,3,2,1600,['Parking'],58
105000,4,2,3,1,461,"['Water Supply', 'Drainage', 'Water Tank']",25
300000,6,5,3,2,434,"['Parking', 'Water Tank', 'Solar Water', 'Water Supply', 'Drainage', 'Balcony']",22
315000,4,4,3,1,290,"['Garage', 'Garden', 'Balcony', 'Solar Water', 'Water Supply', 'Store Room', 'Electricity Backup']",29
180000,3,3,3,1,704,"['Parking', 'TV Cable', 'Water Tank', 'Deck', 'Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply']",0
575000,4,5,3,1,493,"['Parking', 'Garage', 'Balcony', 'Garden', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank', 'Security Staff', 'Maintenance']",115
350000,7,3,2.5,2,1500,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",42
250000,6,4,4,2,479,"['Parking', 'Balcony', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Kids Playground']",37
370000,5,6,3,2,492,"['Garage', 'Parking', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water']",45
365000,5,4,2,2,350,"['Parking', 'Balcony', 'Microwave', 'Drainage', 'Cafeteria', 'Electricity Backup', 'Water Supply', 'Modular Kitchen', 'Deck', 'Jacuzzi', 'Lawn', 'Fencing', 'Swimming Pool', 'Solar Water', 'Intercom', 'Internet', 'Water Well', 'TV Cable', 'Frontyard', 'Garage', 'Air Condition', 'Garden', 'Washing Machine', 'Kids Playground', 'Water Tank', 'Backyard', 'Gym', 'Wifi', 'CCTV', 'Lift']",45
225000,5,3,3,1,238,"['Parking', 'Lawn', 'Garage', 'Air Condition', 'Backyard', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Drainage', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet']",36
235000,5,3,3,2,175,"['Parking', 'Lawn', 'Garage', 'Air Condition', 'Backyard', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Drainage', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",35
225000,4,3,3,1,271,"['Parking', 'Lawn', 'Garage', 'Backyard', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Drainage', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet']",10
325000,5,4,3,1,204,"['Parking', 'Lawn', 'Garage', 'Air Condition', 'Backyard', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Drainage', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",31
425000,5,3,2,1,147,"['Parking', 'Lawn', 'Garage', 'Air Condition', 'Backyard', 'Garden', 'Fencing', 'Frontyard', 'Deck', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Drainage', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",46
350000,5,4,2,2,280,"['Parking', 'Lawn', 'Garage', 'Air Condition', 'Backyard', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Drainage', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",47
370000,5,5,3,1,1200,"['Parking', 'Garage', 'Water Supply', 'Drainage', 'Solar Water', 'Water Well', 'Water Tank']",48
450000,6,6,3,3,198,"['Parking', 'Garage', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water']",8
390000,2,1,1,2,362,"['Fencing', 'Frontyard', 'Backyard', 'Garden', 'Drainage', 'Water Well', 'Parking', 'Water Tank', 'Lawn']",43
170000,5,3,3,1,764,"['Balcony', 'Parking', 'Solar Water', 'Drainage', 'Water Supply']",4
165000,6,3,2.5,1,5700,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']",0
205000,4,4,2.5,1,7800,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",8
250000,7,6,3,3,304,"['Backyard', 'Balcony', 'Frontyard', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']",13
210000,4,5,1,1,621,[],8
180000,6,3,3,2,639,"['Parking', 'Water Tank', 'Modular Kitchen', 'Fencing', 'Fencing', 'Water Well', 'Parking', 'Electricity Backup', 'Balcony', 'Water Well', 'Balcony', 'Water Tank', 'Modular Kitchen', 'Electricity Backup']",22
352000,4,4,,1,209,"['Balcony', 'Fencing', 'TV Cable', 'Water Supply', 'Drainage', 'CCTV', 'Parking']",33
371000,4,4,,1,380,"['Balcony', 'TV Cable', 'Water Supply', 'Drainage', 'Parking']",28
550000,4,5,3,4,786,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Parking', 'Store Room', 'Security Staff']",66
345000,4,4,,1,193,"['Balcony', 'Fencing', 'TV Cable', 'Water Supply', 'Drainage', 'CCTV', 'Parking']",53
450000,5,6,3,3,559,"['Garage', 'Balcony', 'Air Condition', 'Garden', 'Modular Kitchen', 'Drainage', 'Solar Water', 'Water Supply', 'Water Tank', 'Parking']",70
225000,6,5,3,1,274,"['Garage', 'Modular Kitchen', 'Drainage', 'Water Tank', 'Water Supply']",37
235000,6,5,3,1,200,['Garage'],35
282000,4,4,2,1,3100,"['Garage', 'Balcony', 'Fencing', 'TV Cable', 'Drainage', 'Water Tank', 'CCTV', 'Parking']",42
130000,2,1,1,2,256,"['Drainage', 'Water Supply', 'Parking']",64
325000,5,5,3,1,126,['Garage'],62
240000,7,8,4,1,205,['Parking'],25
177000,3,4,2.5,1,4200,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",45
168000,5,5,3,1,870,['Parking'],32
340000,6,6,3,2,280,"['Garage', 'Parking']",41
225000,5,5,3,1,384,['Parking'],2
425000,5,6,3,4,204,"['Garage', 'Backyard', 'Balcony', 'Frontyard', 'Garden', 'Drainage', 'Solar Water', 'Water Supply', 'Water Tank', 'Store Room']",33
410000,7,3,2.5,1,4500,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",46
150000,3,3,,2,879,['Garden'],46
375000,8,6,4,1,689,"['Balcony', 'Garage', 'Backyard', 'Garden', 'Lawn', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Wifi', 'Water Supply', 'Water Tank', 'Water Well', 'Parking', 'Internet', 'Store Room']",43
160000,5,3,2.5,1,7100,"['Balcony', 'Fencing', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",18
150000,4,4,3,2,789,['Garage'],18
215000,6,4,2.5,3,17400,"['Balcony', 'Fencing', 'Frontyard', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",27
600000,5,5,2.5,1,400,"['Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Intercom', 'Internet', 'Parking', 'Store Room']",55
300000,4,4,,1,236,"['Modular Kitchen', 'Swimming Pool', 'Solar Water', 'TV Cable', 'Garden', 'Balcony']",37
810000,6,6,3,6,167,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Store Room', 'Kids Playground', 'Maintenance', 'Parking', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank']",81
550000,5,5,2,6,179,"['Garage', 'Lawn', 'Backyard', 'Fencing', 'Garden', 'Frontyard', 'Water Well', 'Water Tank', 'Solar Water', 'Drainage']",84
130000,6,2,3,1,178,"['Electricity Backup', 'Water Supply', 'Water Tank', 'Water Well', 'Balcony']",9
300000,4,3,,1,509,[],22
175000,5,4,3,1,253,"['Backyard', 'Fencing', 'Frontyard', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Parking', 'Water Tank', 'Internet', 'Solar Water', 'Electricity Backup', 'Water Supply', 'Cafeteria', 'CCTV']",17
650000,6,5,2,1,1900,"['Garage', 'Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Intercom', 'Internet', 'Kids Playground', 'Parking', 'Store Room']",101
95000,3,1,,1,713,[],2
90000,6,3,3,1,8200,"['Fencing', 'Frontyard', 'Garden', 'TV Cable', 'Drainage', 'Solar Water', 'Water Well', 'Internet', 'Parking', 'Store Room']",16
200000,3,3,,1,280,['Parking'],13
310000,7,3,3,1,187,"['Garage', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Solar Water', 'Water Well', 'Water Tank', 'Parking', 'Electricity Backup', 'Internet']",54
175000,3,3,,1,1600,[],31
195000,5,3,3,1,100,"['Modular Kitchen', 'Water Supply', 'Solar Water', 'TV Cable', 'Water Well', 'Water Tank', 'Internet', 'Wifi', 'Parking', 'Balcony', 'Drainage']",9
650000,5,4,2,1,459,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",63
370000,6,6,3,2,259,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",5
190000,4,3,2,1,347,"['Lawn', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Wifi', 'Drainage', 'Washing Machine', 'Water Supply', 'Water Well', 'Water Tank', 'Parking', 'Internet']",28
650000,5,6,3,3,197,"['Garage', 'Lawn', 'Balcony', 'Water Supply', 'Solar Water', 'Drainage', 'Water Tank', 'Maintenance', 'Security Staff', 'Store Room']",69
195000,5,3,2.5,1,1400,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking', 'Store Room']",50
240000,8,5,3,1,699,"['Jacuzzi', 'Balcony', 'Drainage', 'Water Supply', 'Water Tank', 'Modular Kitchen']",17
350000,3,4,,3,978,"['Lawn', 'Garage', 'Balcony', 'Fencing']",31
200000,5,2,4,1,988,"['Water Tank', 'Frontyard', 'Parking', 'Frontyard']",21
235000,6,4,3,1,7500,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Internet', 'Parking', 'Store Room']",19
240000,4,4,2,1,609,"['Balcony', 'Backyard', 'Garden', 'Water Tank', 'Parking', 'Security Staff', 'Store Room']",27
400000,4,4,3,2,1400,"['Garage', 'Balcony', 'Microwave', 'Garden', 'Fencing', 'Modular Kitchen', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Electricity Backup', 'Wifi']",41
399999.99,4,3,3,2,20600,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Gym', 'Microwave', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground', 'Maintenance', 'Parking', 'Security Staff', 'Store Room']",74
435000,7,3,3,1,1900,"['Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking']",29
225000,4,3,2,1,1100,"['Lawn', 'Air Condition', 'Garage', 'Balcony', 'Fencing', 'Garden', 'Frontyard', 'Microwave', 'Drainage', 'Wifi', 'Washing Machine', 'Modular Kitchen', 'Water Supply', 'Water Well', 'Water Tank', 'Kids Playground', 'Internet']",21
850000,5,6,3,4,259,['Parking'],71
450000,6,6,3,2,210,"['Garage', 'Parking', 'Drainage', 'Solar Water', 'Water Tank', 'Water Supply']",30
495000,5,5,3,2,284,['Garage'],14
240000,6,6,3,1,153,['Garage'],9
450000,6,6,3,4,268,"['Garage', 'Parking']",52
600000,7,7,3,4,265,"['Garage', 'Parking']",93
225000,5,5,3,1,237,['Garage'],22
620000,5,6,3,4,219,"['Garage', 'Lawn', 'Balcony', 'Modular Kitchen', 'Drainage', 'Solar Water', 'Water Supply', 'Water Tank', 'Parking']",87
690000,7,7,3,4,88,"['Frontyard', 'Lawn', 'Garage', 'Water Supply', 'Solar Water', 'Drainage', 'Water Tank', 'Parking', 'Store Room']",80
450000,6,7,3,2,191,"['Garage', 'Parking', 'Water Supply', 'Solar Water', 'Drainage', 'Washing Machine', 'Water Tank']",48
420000,8,7,4,4,243,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Solar Water', 'Water Supply', 'Drainage']",32
130000,2,1,1.35,1,2700,[],20
127000,2,1,1.5,1,178,"['Balcony', 'Fencing', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']",34
110000,2,1,1.5,1,1600,[],2
120000,2,1,1.5,1,3800,"['Fencing', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Parking', 'Store Room']",27
125000,2,1,1.5,1,2600,"['Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",16
190000,8,4,3,1,6100,"['Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking', 'Store Room']",34
115000,2,1,1.5,1,902,"['Fencing', 'Drainage', 'Water Tank', 'Water Well', 'Parking']",25
150000,2,1,1.5,1,5200,"['Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Tank', 'Water Well', 'Parking']",46
110000,2,1,1.5,1,2100,"['Fencing', 'Drainage', 'Water Tank', 'Water Well', 'Parking']",33
200000,4,4,2,4,502,"['Lawn', 'Air Condition', 'Balcony']",25
230000,5,5,3,1,199,['Garage'],2
600000,7,4,4,4,448,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Cafeteria', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",66
600000,5,6,4,4,254,['Garage'],60
255000,7,4,3,1,306,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Frontyard', 'Garden', 'Fencing', 'Deck', 'Modular Kitchen', 'Wifi', 'Drainage', 'Washing Machine', 'Water Supply', 'Solar Water', 'Water Tank', 'Kids Playground', 'Internet']",6
